"Date","Operator","AC_Type","Location","Fatalities","Registration"
"Jun 20, 1960","Air Brousse","De Havilland DH.89 Dragon Rapide","Kinshasa-Ndolo, Kinshasa City Province",0,"OO-ARN"
"Jun 19, 1960","","Douglas C-124 Globemaster II","Paramaribo, Paramaribo City District",3,"52-0993"
"Jun 17, 1960","","Vickers Valetta","Mukeiras, Al Bayda'	(البيضاء)",0,"VW803"
"Jun 14, 1960","","Lockheed L-749 Constellation","Mt Gilbert, Alaska",14,"N1554V"
"Jun 10, 1960","","Ilyushin II-14","Tkvarcheli, Abkhazia",31,"CCCP-91571"
"Jun 10, 1960","","Fokker F27 Friendship","Mackay, Queensland",29,"VH-TFB"
"Jun 1, 1960","","Avro 652 Anson","Northolt, London Metropolis",0,"VV298"
"May 31, 1960","East German Air Force - Luftstreitkräfte der Nationalen Volksarmee (LSK)","Antonov AN-2","Dessau, Saxony-Anhalt",0,"856"
"May 29, 1960","Air Safaris","Vickers Viking","Tarbes, Hautes-Pyrénées",0,"G-AHOR"
"May 27, 1960","","Avro 685 York","Tehran-Mehrabad, Tehran City District",0,"OD-ACD"
"May 25, 1960","","Airspeed AS.65 Consul","Atlantic Ocean, All World",0,"EC-AJV"
"May 23, 1960","","Convair CV-880","Atlanta-William Berry Hartsfield, Georgia",4,"N8804E"
"May 23, 1960","","North American B-25 Mitchell","Jakarta, City District of Jakarta",4,"-"
"May 21, 1960","Boliviana de Aviación (1960)","Consolidated C-87 Liberator Express","La Paz-El Alto, La Paz",0,"CP-618"
"May 19, 1960","","Curtiss C-46 Commando","David, Chiriquí",0,"YV-C-LBG"
"May 18, 1960","Transamerican Air Transport","Curtiss C-46 Commando","El Sosneado, Mendoza",9,"LV-GGJ"
"May 15, 1960","","Douglas DC-4","Tora Tonga, South Darfur (جنوب دارفور)",12,"HB-ILA"
"May 10, 1960","","Percival P.66 Pembroke","Krusendorf, Schleswig-Holstein",0,"SE 514"
"May 5, 1960","","Lisunov LI-2","Enken, Khabarovsk Krai",5,"CCCP-84609"
"May 5, 1960","Swiss Dhaulagiri Expedition","Pilatus PC-6 (Porter & Turbo Porter)","Dambusch Pass, Gandaki",0,"HB-FAN"
"May 3, 1960","","Curtiss C-46 Commando","Ramey AFB (Aguadilla), All Puerto Rico",5,"PP-NMD"
"May 3, 1960","","Avro 694 Lincoln","Mendoza, Mendoza",0,"B-026"
"May 1, 1960","","De Havilland DH.60 Moth","Home Hill, Queensland",0,"VH-UGN"
"Apr 29, 1960","","Scottish Aviation Twin Pioneer","Upavon, Wiltshire",0,"XL555"
"Apr 28, 1960","","Douglas C-47 Skytrain (DC-3)","Calabozo, Guárico",13,"YV-C-AFE"
"Apr 27, 1960","","Ilyushin II-18","Sverdlovsk, Sverdlovsk oblast",1,"CCCP-75648"
"Apr 22, 1960","","Douglas C-54 Skymaster","Bunia, Orientale",35,"OO-SBL"
"Apr 19, 1960","","Scottish Aviation Twin Pioneer","Kota Tinggi, Johor",0,"XL967"
"Apr 19, 1960","","Curtiss C-46 Commando","Bogotá-El Dorado, Bogotá Capital District",37,"HK-390"
"Apr 18, 1960","","Douglas C-124 Globemaster II","Stephenville, Newfoundland & Labrador",9,"52-1062"
"Apr 15, 1960","","Boeing KC-97 Stratotanker","Lincoln, Nebraska",0,"52-0919"
"Apr 15, 1960","","Douglas C-47 Skytrain (DC-3)","Marburg, Hesse",0,"43-49271"
"Apr 14, 1960","","Curtiss C-46 Commando","Miami-Intl, Florida",0,"CU-C644"
"Apr 14, 1960","","Douglas DC-4","Taipei-Songshan, Taipei City (臺北市)",18,"42919"
"Apr 12, 1960","","Douglas C-53 Skytrooper (DC-3)","Pelotas, Rio Grande do Sul",10,"PP-CDS"
"Apr 12, 1960","","De Havilland DH.104 Dove","Warton AFB, Lancashire",0,"G-ALMR"
"Apr 12, 1960","","Avro 652 Anson","Melbourne-Moorabbin, Victoria",0,"VH-BAB"
"Apr 11, 1960","","Beechcraft C-45 Expeditor","Latina, Lazio",0,"MM61749"
"Apr 6, 1960","Servicio Especializado de Carga Aérea - SECA","De Havilland DH.104 Dove","San Juan, San Juan",0,"LV-YAU"
"Apr 5, 1960","","Curtiss C-46 Commando","Siuna, Región Autónoma del Atlántico Norte",2,"AN-AIN"
"Apr 1, 1960","","Boeing B-52 Stratofortress","Fairchild AFB (Spokane), Washington",8,"56-0607"
"Mar 30, 1960","","Avia 14","Kroměříž, Zlín Region (Zlínský kraj)",7,"3149"
"Mar 30, 1960","","Boeing KC-97 Stratotanker","Atlantic Ocean, All World",2,"51-0363"
"Mar 27, 1960","Líneas Aéreas de Cuyo","Lockheed 18 LodeStar","Azul, Buenos Aires province",0,"LV-GMF"
"Mar 26, 1960","","Noorduyn Norseman","Red Lake, Ontario",0,"CF-IRH"
"Mar 25, 1960","","Douglas C-47 Skytrain (DC-3)","Wiesbaden-Erbenheim AFB, Hesse",0,"43-48100"
"Mar 25, 1960","","Curtiss C-46 Commando","Pelly Bay, Nunavut",0,"CF-IHQ"
"Mar 20, 1960","","Lockheed P-2 Neptune","Gunsan, North Jeolla (전라북도)",14,"54-4040"
"Mar 20, 1960","","Douglas C-47 Skytrain (DC-3)","Chimbote, Ancash",4,"OB-PAM-146"
"Mar 19, 1960","","Curtiss C-46 Commando","Planeta Rica, Córdoba",25,"HK-516"
"Mar 17, 1960","","Lockheed L-188 Electra","Tell City, Indiana",63,"N121US"
"Mar 17, 1960","Bush Church Aid Society","Lockheed 12 Electra Junior","Ceduna, South Australia",0,"VH-FMS"
"Mar 16, 1960","","Douglas C-47 Skytrain (DC-3)","Nagoya-Komaki, Chūbu",5,"JA5018"
"Mar 16, 1960","","Douglas C-47 Skytrain (DC-3)","Amatrice, Lazio",4,"43-48899"
"Mar 15, 1960","","Nord 2501 Noratlas","Mt Argentera, Piedmont",6,"GA+249"
"Mar 15, 1960","","Consolidated PBY-5A Catalina","El Refugio, Meta",6,"HK-1001E"
"Mar 10, 1960","","Scottish Aviation Twin Pioneer","Jorhat, Assam",2,"G-ANTP"
"Mar 9, 1960","","Scottish Aviation Twin Pioneer","Paloh, Johor",0,"XM941"
"Mar 8, 1960","","Handley Page H.P.81 Hermes","London-Heathrow, London Metropolis",0,"G-ALDH"
"Mar 8, 1960","","Douglas DC-4","Jérez del Marquesado, Andalusia",0,"56521"
"Mar 8, 1960","","Boeing KC-135 Stratotanker","Carswell AFB (Fort Worth), Texas",0,"57-1466"
"Mar 5, 1960","","Fairchild C-119 Flying Boxcar","Botricello, Calabria",0,"53-8152"
"Mar 5, 1960","","Douglas C-47 Skytrain (DC-3)","Birmingham, West Midlands",0,"G-AMSF"
"Mar 1, 1960","","Handley Page H.P.67 Hastings","Gan AFB (Addu Atoll), South Province",0,"TG579"
"Feb 29, 1960","","Lockheed L-1049 Super Constellation","Chicago-Midway, Illinois",0,"N7101C"
"Feb 26, 1960","Air Brousse","De Havilland DH.89 Dragon Rapide","Dakar, Dakar Region",0,"OO-CJS"
"Feb 26, 1960","","Douglas DC-7","Shannon, Munster",34,"I-DUVO"
"Feb 26, 1960","","Antonov AN-10","Lviv, Lviv Oblast",32,"CCCP-11180"
"Feb 25, 1960","","Lockheed P-2 Harpoon","Bucelas, Estremadura - Lisbon District",2,"4624"
"Feb 25, 1960","","Douglas DC-6","Rio de Janeiro, Rio de Janeiro",35,"131582"
"Feb 25, 1960","","Douglas C-47 Skytrain (DC-3)","Rio de Janeiro, Rio de Janeiro",26,"PP-AXD"
"Feb 25, 1960","Cuban Air Force - Fuerza Aérea del Ejército de Cuba (1952-1961)","Douglas C-47 Skytrain (DC-3)","Havana, La Habana",4,"-"
"Feb 22, 1960","","Douglas C-118 Liftmaster","Elmendorf-Richardson AFB (JBER), Alaska",0,"N11817"
"Feb 20, 1960","","Casa 2.111","Ciudad Real, Castile-La Mancha",8,"-"
"Feb 20, 1960","","De Havilland DH.106 Comet","Buenos Aires-Ezeiza-Ministro Pistarini, Buenos Aires City",0,"LV-AHO"
"Feb 20, 1960","","Lockheed P-2 Neptune","Keflavik, Southern Peninsula (Suðurnes)",0,"135563"
"Feb 19, 1960","","Antonov AN-2","Russia, All Russia",0,"CCCP-98332"
"Feb 19, 1960","","De Havilland DH.104 Dove","Lahore-Walton, Punjab (پنجاب)",2,"G-AMKT"
"Feb 18, 1960","","Fletcher FU-24","Rotorua, Bay of Plenty Regional Council",0,"ZK-BOI"
"Feb 17, 1960","Champion Paper & Fiber Company","Lockheed PV-1 Ventura","Madeira, Ohio",3,"N31CP"
"Feb 17, 1960","","Douglas C-47 Skytrain (DC-3)","Mt Hòn Cháy, Thừa Thiên–Huế Province",3,"17244"
"Feb 16, 1960","","Fletcher FU-24","Glenbervie, Northland Regional Council",0,"ZK-BIA"
"Feb 15, 1960","","Avro 652 Anson","Gütersloh, North Rhine-Westphalia",0,"VP535"
"Feb 15, 1960","","Douglas C-47 Skytrain (DC-3)","Nicaragua, All Nicaragua",0,"AN-ADQ"
"Feb 13, 1960","Associated Air Transport","Curtiss C-46 Commando","McGuire AFB (Fort Dix), New Jersey",0,"N46Q"
"Feb 11, 1960","","Martin P5M-2 Marlin","Whidbey Island NAS (Ault Field), Washington",9,"135498"
"Feb 10, 1960","Flinders Island Airways","Avro 652 Anson","Loch, Victoria",2,"VH-FIB"
"Feb 7, 1960","Cuban Air Force - Fuerza Aérea del Ejército de Cuba (1952-1961)","Douglas C-53 Skytrooper (DC-3)","Marathon, Florida",2,"209"
"Feb 5, 1960","","Douglas DC-4","Cochabamba, Cochabamba",59,"CP-609"
"Feb 3, 1960","","Boeing KC-135 Stratotanker","Walker AFB, New Mexico",8,"56-3628"
"Feb 1, 1960","","Boeing B-52 Stratofortress","Ramey AFB (Aguadilla), All Puerto Rico",7,"58-0180"
"Jan 29, 1960","","Curtiss C-46 Commando","Port Hardy, British Columbia",0,"CF-PWD"
"Jan 26, 1960","","De Havilland DH.114 Heron","Bathurst Island, Northern Territory",9,"CR-TAI"
"Jan 26, 1960","","Fairchild C-82 Packet","Rio de Janeiro-Galeão, Rio de Janeiro",0,"PP-CEM"
"Jan 22, 1960","Air Survey of India","De Havilland DH.89 Dragon Rapide","Somarampet, Telangana",3,"VT-ASC"
"Jan 21, 1960","","Lockheed L-1049 Super Constellation","Montego Bay, Saint James",37,"HK-177"
"Jan 20, 1960","","Douglas C-47 Skytrain (DC-3)","Brindisi, Apulia",5,"MM61770"
"Jan 19, 1960","","Sud-Aviation SE-210 Caravelle","Ankara-Esenboğa, Central Anatolia Region (İç Anadolu Bölgesi)",42,"OY-KRB"
"Jan 18, 1960","","Vickers Viscount","Holdcroft, Virginia",50,"N7462"
"Jan 15, 1960","","De Havilland DHC-2 Beaver","Beardmore Glacier, All Antarctica",0,"NZ6010"
"Jan 15, 1960","","Lisunov LI-2","Didino, Sverdlovsk oblast",1,"CCCP-19405"
"Jan 15, 1960","","Nord 2501 Noratlas","Ghardaïa, Ghardaïa",6,"102"
"Jan 13, 1960","Utah Construction & Mining Company","Lockheed 18 LodeStar","Minersville, Utah",6,"N672"
"Jan 12, 1960","","Scottish Aviation Twin Pioneer","Plaridel, Bulacan",0,"PI-C430"
"Jan 9, 1960","","Lockheed P-2 Neptune","Dana Point, California",4,"124893"
"Jan 7, 1960","","Vickers Viscount","London-Heathrow, London Metropolis",0,"G-AOHU"
"Jan 6, 1960","","Douglas DC-6","Bolivia, North Carolina",34,"N8225H"
"Jan 6, 1960","","Douglas C-47 Skytrain (DC-3)","Byrd Station, All Antarctica",0,"17154"
"Jan 5, 1960","","Vickers Viscount","Luqa, All Malta",0,"G-AMNY"
"Jan 4, 1960","","De Havilland DHC-3 Otter","Benghazi, Benghazi (بنغازي)",10,"55-2974"
"Jan 4, 1960","Transportes Aéreos Salvador","Curtiss C-46 Commando","Dianopólis, Tocantins",0,"PP-SLJ"
"Jan 3, 1960","","Douglas C-47 Skytrain (DC-3)","Taksing, Arunachal Pradesh",9,"VT-CGG"
"Jan 3, 1960","","Lockheed L-749 Constellation","Philadelphia, Pennsylvania",0,"N110A"
"Dec 31, 1959","","Douglas C-47 Skytrain (DC-3)","San José de Chiquitos, Santa Cruz",11,"CP-584"
"Dec 29, 1959","","Lockheed P-2 Neptune","Brunswick, Maine",0,"140157"
"Dec 24, 1959","","Douglas C-47 Skytrain (DC-3)","Palembang, South Sumatra",1,"PK-GDV"
"Dec 23, 1959","Desert Locust Survey","De Havilland DHC-2 Beaver","Mwingi, Eastern",0,"VP-KPA"
"Dec 22, 1959","","Vickers Viscount","Rio de Janeiro-Galeão, Rio de Janeiro",42,"PP-SRG"
"Dec 22, 1959","","Vickers Viking","Agadir, Souss-Massa-Drâa",0,"G-AMGG"
"Dec 21, 1959","","Vickers Viscount","Rome-Ciampino, Lazio",2,"I-LIZT"
"Dec 21, 1959","Aerial Farming","De Havilland DHC-2 Beaver","Taihape, Manawatu-Wanganui (Horizons Regional Council)",1,"ZK-AVL"
"Dec 18, 1959","","Noorduyn Norseman","Oskélanéo, Quebec",0,"CF-BHY"
"Dec 17, 1959","","Lisunov LI-2","Vilnius, Apskritis of Vilnius",1,"CCCP-84587"
"Dec 17, 1959","","Martin PBM Mariner","Fakfak, Special Region of West Papua",5,"16-302"
"Dec 16, 1959","California Aircraft Company","Consolidated PBY-5A Catalina","Ketchikan, Alaska",3,"N64T"
"Dec 14, 1959","","Boeing KC-97 Stratotanker","Westover AFB, Massachusetts",0,"53-0231"
"Dec 13, 1959","","Ilyushin II-14","Boysun, Surxondaryo Province (Surxondaryo viloyati)",30,"CCCP-91577"
"Dec 12, 1959","","Grumman HU-16 (SA-16) Albatross","Las Palmas, Canary Islands",0,"AD.1B-6"
"Dec 12, 1959","","Convair CV-240","Mendoza, Mendoza",0,"LV-ADM"
"Dec 12, 1959","","Scottish Aviation Twin Pioneer","Luabo, Zambezia",0,"G-AOEN"
"Dec 8, 1959","","Curtiss C-46 Commando","Caribbean Sea, All World",45,"HK-515"
"Dec 8, 1959","","Ilyushin II-14","Vorkuta, Republic of Komi",0,"CCCP-61778"
"Dec 5, 1959","","Douglas DC-3","Puebla, Puebla",7,"-"
"Dec 4, 1959","","Douglas C-47 Skytrain (DC-3)","Cumuruxatiba, Bahia",6,"2070"
"Dec 2, 1959","","Douglas C-47 Skytrain (DC-3)","Oslo, Oslo City",4,"43-49024"
"Dec 1, 1959","","Martin 202","Williamsport, Pennsylvania",25,"N174A"
"Dec 1, 1959","","Douglas C-47 Skytrain (DC-3)","Maiquetía-Simón Bolívar, Vargas",3,"YV-C-AKU"
"Dec 1, 1959","Aero Atlas","Beechcraft AT-11 Kansan","Red Bluff, California",0,"N6962C"
"Nov 29, 1959","","Ilyushin II-12","Irkutsk-Magan, Irkutsk oblast",4,"CCCP-01426"
"Nov 28, 1959","Sargo Servicios Aéreos","De Havilland DH.104 Dove","Mt Ingamayo, Salta",2,"LV-GIT"
"Nov 28, 1959","","Antonov AN-12","Belaya AFB, Irkutsk oblast",10,"-"
"Nov 24, 1959","","Lockheed L-1049 Super Constellation","Chicago-Midway, Illinois",11,"N102R"
"Nov 24, 1959","","De Havilland DH.104 Dove","Farnborough, Hampshire",2,"WF984"
"Nov 22, 1959","","De Havilland DH.60 Moth","Melbourne-Moorabbin, Victoria",0,"VH-UGM"
"Nov 22, 1959","","Douglas C-53 Skytrooper (DC-3)","Rio de Janeiro, Rio de Janeiro",2,"PP-NAZ"
"Nov 22, 1959","","Douglas C-53 Skytrooper (DC-3)","São Filipe (Ilha do Fogo), All Cabo Verde",0,"6152"
"Nov 21, 1959","","Douglas DC-4","Beirut, Beirut Governorate",24,"YA-BAG"
"Nov 21, 1959","","Airspeed AS.65 Consul","Elstree, Hertfordshire",0,"G-AJXE"
"Nov 19, 1959","","De Havilland DHC-2 Beaver","Campbell Park (Narrung), South Australia",1,"VH-RAZ"
"Nov 17, 1959","","Boeing B-17 Flying Fortress","San Lorenzo, Tarija",0,"CP-625"
"Nov 16, 1959","","Douglas DC-7","Pilottown, Louisiana",42,"N4891C"
"Nov 16, 1959","","Antonov AN-10","Lviv, Lviv Oblast",40,"CCCP-11167"
"Nov 15, 1959","","Bristol 170 Freighter","Pakistan, All Pakistan",0,"G778"
"Nov 15, 1959","","Bristol 170 Freighter","Pakistan, All Pakistan",0,"S4419"
"Nov 15, 1959","","Douglas C-47 Skytrain (DC-3)","Hong Kong-Kai Tak, Hong Kong",0,"L2-28/02"
"Nov 13, 1959","","North American B-25 Mitchell","Santa Cruz AFB, Rio de Janeiro",1,"5131"
"Nov 9, 1959","","Morane-Saulnier M.S.760 Paris","Córdoba AFB, Córdoba",1,"E-210"
"Nov 7, 1959","","Douglas C-47 Skytrain (DC-3)","Tainan, Tainan City (臺南市)",15,"42-93074"
"Nov 5, 1959","National Aero Sales Company","Douglas C-47 Skytrain (DC-3)","Cleveland-Burke Lakefront, Ohio",0,"N38G"
"Nov 4, 1959","","Douglas C-54 Skymaster","Saint-Cléophas-de-Brandon, Quebec",5,"CF-ILI"
"Nov 1, 1959","","Short S.25 Sunderland","Te Whanga Lagoon (Chatham Island), Southland Regional Council",0,"NZ4111"
"Nov 1, 1959","","Fletcher FU-24","Tirohanga, Waikato Regional Council",1,"ZK-BHW"
"Oct 30, 1959","","Douglas C-47 Skytrain (DC-3)","Avlona, Attica / Αττική",19,"SX-BAD"
"Oct 30, 1959","","Douglas C-47 Skytrain (DC-3)","Mt Bucks Elbow, Virginia",26,"N55V"
"Oct 27, 1959","","Lisunov LI-2","Karaganda, Karagandy",1,"CCCP-84746"
"Oct 26, 1959","","Douglas DC-3","Santa Maria, California",1,"N67589"
"Oct 25, 1959","","Boeing B-17 Flying Fortress","Caranavi, La Paz",0,"CP-626"
"Oct 23, 1959","","Ilyushin II-14","Moscow-Vnukovo, Moscow oblast",28,"CCCP-41806"
"Oct 23, 1959","","Scottish Aviation Twin Pioneer","Ipoh, Perak",2,"XG561"
"Oct 19, 1959","","Boeing 707","Arlington, Washington",4,"N7071"
"Oct 19, 1959","","Vickers Varsity","Tangmere AFB, West Sussex",2,"WF381"
"Oct 17, 1959","","Junkers JU.52","Baiyer River, Western Highlands",0,"VH-BUU"
"Oct 16, 1959","","Noorduyn Norseman","Sioux Lookout, Ontario",2,"CF-JEC"
"Oct 15, 1959","","Boeing B-52 Stratofortress","Leitchfield, Kentucky",4,"57-0036"
"Oct 15, 1959","","Boeing KC-135 Stratotanker","Leitchfield, Kentucky",4,"57-1513"
"Oct 15, 1959","","Douglas C-54 Skymaster","Jacksonville, Florida",0,"N4000A"
"Oct 15, 1959","","Antonov AN-8","Tula, Tula oblast",0,"-"
"Oct 13, 1959","","De Havilland DHC-2 Beaver","Boerne, Texas",4,"-"
"Oct 6, 1959","","Rockwell Aero Commander 520","Palumeu, Sipaliwini",2,"PZ-TAG"
"Oct 3, 1959","","Vickers Viscount","Toronto-Lester Bowles Pearson, Ontario",0,"CF-TGY"
"Oct 2, 1959","","Lisunov LI-2","Khalaktyrka, Kamchatka Krai",4,"CCCP-84448"
"Sep 29, 1959","","Lockheed L-188 Electra","Buffalo, Texas",34,"N9705C"
"Sep 25, 1959","","Douglas C-54 Skymaster","Jeddah, Makkah l-Mukarramah (مكة المكرمة)",0,"HZ-AAF"
"Sep 24, 1959","","Douglas DC-7","Bordeaux-Mérignac, Gironde",54,"F-BIAP"
"Sep 24, 1959","","Douglas C-54 Skymaster","Great Sitkin Island, Alaska",16,"N63396"
"Sep 23, 1959","","Saab Scandia","São Paulo-Congonhas, São Paulo",20,"PP-SQV"
"Sep 23, 1959","","Avro 652 Anson","Leeming AFB, North Yorkshire",0,"WJ514"
"Sep 21, 1959","","Lockheed P-2 Neptune","Salvador, Bahia",6,"7007"
"Sep 16, 1959","","Nord 2501 Noratlas","Oederquart, Lower Saxony",4,"GC+106"
"Sep 15, 1959","","Douglas DC-3","Cape Hallett, All Antarctica",0,"17163"
"Sep 12, 1959","","Douglas DC-4","Mercedes, Ocotepeque",3,"N88900"
"Sep 12, 1959","","Fletcher FU-24","Putaruru, Waikato Regional Council",1,"ZK-BIZ"
"Sep 5, 1959","","Vickers Viking","Tralicetu, Corse-du-Sud",0,"F-BFDN"
"Sep 2, 1959","","Curtiss C-46 Commando","Dyess AFB, Texas",2,"N5140B"
"Sep 2, 1959","","Ilyushin II-18","Moscow-Vnukovo, Moscow oblast",0,"CCCP-75676"
"Sep 1, 1959","Bailey Enterprises","Beechcraft C18S","McGrath, Alaska",8,"N57139"
"Aug 27, 1959","","De Havilland DH.106 Comet","Asunción, Distrito Capital",2,"LV-AHP"
"Aug 27, 1959","","Douglas C-47 Skytrain (DC-3)","Maringa, Paraná",0,"PP-AVY"
"Aug 23, 1959","","De Havilland DH.114 Heron","Basseterre-Golden Rock, All Saint Kitts and Nevis",0,"VP-BAO"
"Aug 19, 1959","","Douglas C-47 Skytrain (DC-3)","Mt Montseny, Catalonia",32,"G-AMZD"
"Aug 15, 1959","","Boeing 707","Calverton, New York",5,"N7514A"
"Aug 15, 1959","","Douglas DC-3","San Isidro de El General, San José (Central Valley)",1,"TI-1005C"
"Aug 14, 1959","","Vickers Viscount","Karachi-Muhammad Ali Jinnah-Quaid-e-Azam, Sindh (سنڌ سندھ)",2,"AP-AJE"
"Aug 10, 1959","","Lisunov LI-2","Cape Shelagsky, Chukotka okrug",7,"CCCP-04242"
"Aug 10, 1959","","Boeing B-52 Stratofortress","Fremont, New Hampshire",0,"54-2682"
"Aug 10, 1959","","Lisunov LI-2","Kovrik River, Khabarovsk Krai",9,"CCCP-54795"
"Aug 10, 1959","","Junkers W.33","Kootenay Lake, British Columbia",0,"CF-AQW"
"Aug 7, 1959","","Vickers Viking","El Palomar AFB, Buenos Aires province",0,"T-92"
"Aug 5, 1959","","Avro 652 Anson","Boscombe Down AFB, Wiltshire",0,"VM305"
"Aug 5, 1959","Falcon Airways - UK","Beechcraft C18S","Bournemouth, Dorset",0,"G-APBX"
"Aug 4, 1959","","Ford 5","Moose Creek, Idaho",4,"N8419"
"Aug 3, 1959","","Douglas C-47 Skytrain (DC-3)","Saku, Arunachal Pradesh",6,"VT-DGP"
"Aug 2, 1959","Cuban Air Force - Fuerza Aérea del Ejército de Cuba (1952-1961)","Douglas A-26 Invader","Camagüey, Camagüey",1,"-"
"Jul 31, 1959","Transair Denmark","Airspeed AS.10 Oxford","Roskilde, Sjælland",0,"OY-FAS"
"Jul 28, 1959","","Douglas C-47 Skytrain (DC-3)","El Palomar AFB, Buenos Aires province",0,"T-53"
"Jul 28, 1959","","Vickers Viking","Southend, Essex",0,"G-AHPH"
"Jul 26, 1959","","De Havilland DHC-2 Beaver","Kangiqsujuaq (Wakeham Bay), Quebec",0,"CF-FHE"
"Jul 24, 1959","","Nord 2501 Noratlas","Bandirma, Marmara Region (Marmara Bölgesi)",5,"GA+243"
"Jul 22, 1959","","Boeing KC-97 Stratotanker","Andover, New Hampshire",7,"52-2703"
"Jul 19, 1959","","Lockheed L-1049 Super Constellation","Mumbai, Maharashtra",0,"VT-DIN"
"Jul 15, 1959","","Curtiss C-46 Commando","Babaçulândia, Tocantins",2,"PP-BEE"
"Jul 15, 1959","","Avro 685 York","Kuwait City, All Kuwait",32,"EP-ADE"
"Jul 14, 1959","","Douglas C-47 Skytrain (DC-3)","Santiago del Estero, Santiago del Estero",0,"LV-ACM"
"Jul 10, 1959","Aerolineas Nacionales - Costa Rica","Curtiss C-46 Commando","San José-La Sabana, San José (Central Valley)",0,"TI-1020"
"Jul 10, 1959","","North American B-25 Mitchell","Santa Bernardina AFB (Durazno), Durazno",5,"161"
"Jul 9, 1959","","Boeing 377 Stratocruiser","Tokyo-Haneda, Kantō",0,"N90941"
"Jul 7, 1959","","De Havilland DH.89 Dragon Rapide","Saint Albans, Hertfordshire",2,"G-AHPT"
"Jul 6, 1959","","Douglas C-124 Globemaster II","Barksdale AFB, Louisiana",0,"49-0254"
"Jul 3, 1959","","Handley Page H.P.67 Hastings","Gan AFB (Addu Atoll), South Province",0,"TG580"
"Jul 3, 1959","","Douglas C-47 Skytrain (DC-3)","Córdoba, Córdoba",0,"T-21"
"Jul 2, 1959","","Canadian Vickers PBV-1 Canso (OA-10 Canso)","Puvirnituq, Quebec",0,"CF-IHB"
"Jul 1, 1959","Continental Can Company","Martin B-26 Marauder","Marion, Ohio",10,"N1502"
"Jun 30, 1959","","Canadian Vickers PBV-1 Canso (OA-10 Canso)","Prince Rupert, British Columbia",1,"11041"
"Jun 26, 1959","","Lockheed L-1649 Starliner","Milan, Lombardy",68,"N7313C"
"Jun 25, 1959","","Antonov AN-2","Yurgarga River, Krasnoyarsk Krai",0,"CCCP-04266"
"Jun 23, 1959","","Douglas DC-4","Cerro Baco, Ancash",14,"HK-135"
"Jun 23, 1959","","Boeing B-52 Stratofortress","Burns, Oregon",5,"56-0591"
"Jun 22, 1959","","Douglas DC-6","Shannon, Munster",0,"N5026K"
"Jun 21, 1959","","Canadair C-4 North Star","Athens-Ellinikon, Attica / Αττική",0,"17525"
"Jun 20, 1959","International Air Applicators","Consolidated PB4Y-2 Privateer","Prescott, Arizona",0,"N6884C"
"Jun 19, 1959","ASPA - Aspersiones Antes","Noorduyn Norseman","Barrancabermeja, Santander",1,"HK-454"
"Jun 19, 1959","","De Havilland DH.104 Dove","Cugny, Aisne",2,"OO-DAL"
"Jun 15, 1959","","Max Holste M.H.1521M Broussard","Mossaka, Cuvette",0,"103/F-SCHB"
"Jun 12, 1959","","Noorduyn Norseman","Sandy Lake, Ontario",8,"CF-BHX"
"Jun 10, 1959","","Martin PBM Mariner","Dabolim, Goa",8,"16-306"
"Jun 7, 1959","","Douglas C-47 Skytrain (DC-3)","Mediterranean Sea, All World",1,"43-15689"
"Jun 2, 1959","","Airspeed AS.10 Oxford","Beauvechain AFB, Walloon Brabant",0,"O-25"
"Jun 1, 1959","Aerolineas Nacionales - Costa Rica","Curtiss C-46 Commando","Nicaragua, All Nicaragua",60,"TI-1022"
"Jun 1, 1959","","Beechcraft D18","Montijo AFB, Estremadura - Lisbon District",4,"2507"
"May 29, 1959","","North American B-25 Mitchell","Campo de Marte AFB (São Paulo), São Paulo",2,"-"
"May 29, 1959","","Boeing B-17 Flying Fortress","Xingping, Shaanxi",12,"815"
"May 29, 1959","","Handley Page H.P.67 Hastings","Khartoum, Khartoum (الخرطوم)",5,"TG522"
"May 26, 1959","","Avro 652 Anson","Jurby AFB, Isle of Man",0,"VM322"
"May 21, 1959","Lineas Aéreas Interpolar","Curtiss C-46 Commando","Moro, Ancash",8,"CC-CIA-497"
"May 21, 1959","","De Havilland DH.89 Dragon Rapide","Land's End, Cornwall",0,"G-AHLL"
"May 20, 1959","","Lockheed C-130 Hercules","Ashiya AFB, Kyūshū",10,"57-0468"
"May 20, 1959","","Avro 652 Anson","Llandudno, Clwyd",3,"VV955"
"May 18, 1959","","Vickers Viscount","Islamabad, Islamabad Capital Territory (وفاقی دارالحکومت)",0,"AP-AJC"
"May 15, 1959","","Douglas C-47 Skytrain (DC-3)","Mar del Plata, Buenos Aires province",10,"LV-AFW"
"May 14, 1959","","De Havilland DH.104 Dove","Lagoa Pati, Maputo",0,"CR-ACM"
"May 13, 1959","","Curtiss C-46 Commando","Tournavista, Huánuco",12,"OB-WBP-507"
"May 12, 1959","","Vickers Viscount","Chase, Maryland",31,"N7463"
"May 12, 1959","","Lockheed L-049 Constellation","Charleston-Yaeger (Kanawha), West Virginia",2,"N2735A"
"May 11, 1959","","Lockheed P-2 Neptune","Whidbey Island NAS (Ault Field), Washington",9,"-"
"May 8, 1959","","Curtiss C-46 Commando","Cuzco, Cuzco",0,"OB-QAM-488"
"May 7, 1959","","Boeing B-17 Flying Fortress","Salvador, Bahia",0,"5404"
